Description,Co-ordinates,lat,lon,region,distance_from_cbd,has_leaf_type,has_stainless_steel,has_historic,has_bottle_refill,has_dog_bowl,has_accessible,has_park_location,has_street_location,feature_count,feature_diversity,description_length,location_name
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Flagstaff Gardens,"-37.81043106640399, 144.95558395492208",-37.81043106640399,144.95558395492208,North,0.7484045860733728,1,0,0,1,0,0,1,0,3,3,74,Flagstaff Gardens
Drinking Fountain - Leaf Type - Dog Bowl  - JJ Holland Park,"-37.79841970759794, 144.92421993826414",-37.79841970759794,144.92421993826414,North,3.81008478039683,1,0,0,0,1,0,1,0,3,3,59,JJ Holland Park
Drinking Fountain - Leaf Type - Dog Bowl  - Alexandra Gardens,"-37.821103585220605, 144.97249534473832",-37.821103585220605,144.97249534473832,Central,1.1735695380988598,1,0,0,0,1,0,1,0,3,3,61,Alexandra Gardens
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.814695182979264, 144.93847737611912",-37.814695182979264,144.93847737611912,North,2.166385035867416,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.818939263478214, 144.94348692912953",-37.81893926347821,144.9434869291295,North,1.8222751558591808,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.811050947085775, 144.96714245008525",-37.811050947085775,144.96714245008525,North,0.4543634485656294,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - North Melbourne Recreation Reserve,"-37.79922710932603, 144.94028139112405",-37.79922710932603,144.94028139112405,North,2.5637919199993244,1,1,0,0,0,0,1,0,3,3,102,North Melbourne Recreation Reserve
Drinking fountain - Historic or Heritage Drinking Fountains - Liddy Street Reserve (KENSINGTON),"-37.79009686226306, 144.9257559567742",-37.79009686226306,144.9257559567742,North,4.19464539480573,0,0,1,0,0,0,1,1,3,3,95,Liddy Street Reserve (KENSINGTON)
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"-37.81261776692698, 144.9683505786709",-37.81261776692698,144.9683505786709,North,0.4739953363033578,1,1,0,1,0,0,0,0,3,3,85,Bottle Refill Tap
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"-37.81812625933699, 144.9458429589375",-37.81812625933699,144.9458429589375,North,1.597265843019009,1,1,0,0,0,0,0,0,2,2,65,Leaf Type
Drinking Fountain - Leaf Type - Dog Bowl  - Neill Street Reserve,"-37.79583501177402, 144.96807205336754",-37.79583501177402,144.96807205336754,North,2.0230983002794765,1,0,0,0,1,0,1,1,4,4,64,Neill Street Reserve
Drinking Fountain - Leaf Type - Dog Bowl  - Fawkner Park,"-37.8452141594852, 144.98256140204748",-37.8452141594852,144.98256140204748,South,3.9088377868224953,1,0,0,0,1,0,1,0,3,3,56,Fawkner Park
